8_0	9_2	78.229	542	97	5	1	541	1	522	0.0	881
8_0	9_1	77.306	542	98	5	1	539	1	520	0.0	872
8_0	9_0	78.101	516	85	3	30	544	38	526	0.0	857
8_0	9_3	80.879	455	87	0	87	541	48	502	0.0	813
8_0	9_4	74.764	424	66	2	74	495	48	432	0.0	669
8_1	9_2	81.731	520	94	1	5	524	4	522	0.0	901
8_1	9_1	85.567	485	69	1	38	522	37	520	0.0	894
8_1	9_0	82.922	486	73	2	37	522	46	521	0.0	865
8_1	9_3	80.435	460	90	0	66	525	44	503	0.0	819
8_1	9_4	74.074	432	73	1	47	478	40	432	0.0	673
8_2	9_2	84.937	478	66	2	14	488	48	522	0.0	848
8_2	9_1	84.760	479	61	2	14	486	48	520	0.0	843
8_2	9_0	85.809	451	64	0	41	491	76	526	0.0	825
8_2	9_3	82.781	453	78	0	34	486	48	500	0.0	801
8_2	9_4	77.363	402	52	1	41	442	70	432	0.0	645
8_3	9_3	78.667	450	96	0	49	498	53	502	0.0	772
8_3	9_0	77.384	451	102	0	45	495	70	520	0.0	752
8_3	9_2	77.703	444	99	0	52	495	76	519	0.0	748
8_3	9_1	77.629	447	100	0	49	495	73	519	0.0	746
8_3	9_4	69.363	408	86	1	45	452	64	432	0.0	595
8_4	9_2	91.545	343	29	0	1	343	180	522	0.0	674
8_4	9_1	90.323	341	33	0	1	341	180	520	0.0	664
8_4	9_0	88.270	341	40	0	1	341	181	521	0.0	655
8_4	9_3	84.302	344	54	0	1	344	160	503	0.0	642
8_4	9_4	87.786	262	32	0	36	297	171	432	0.0	500
